t,basic_wheel3x1.Struktur.w_a[1],basic_wheel3x1.Struktur.w_a[2],basic_wheel3x1.Struktur.w_a[3]
s,rad/s,rad/s,rad/s
7.804028186012,0.100000061569851,2.19454418475103e-008,-1.02637636454251e-007
7.844528186012,0.100000049695357,1.81208476792918e-008,-9.78888107124831e-008
7.885028186012,0.100000039540672,1.40454939154288e-008,-9.35024654664736e-008
7.925528186012,0.100000032147501,1.0783154025857e-008,-8.91920742038212e-008
7.966028186012,0.100000025452026,7.08264388805973e-009,-8.5717865052773e-008
8.006528186012,0.100000020531447,4.26118175564926e-009,-8.20782352344091e-008
8.047028186012,0.100000016717359,1.68577831171073e-009,-7.91676765604963e-008
8.087528186012,0.100000013709172,-8.20840100653799e-010,-7.66355242456738e-008
8.128028186012,0.100000011255942,-3.28590523204037e-009,-7.4725989795526e-008
8.168528186012,0.100000009482096,-5.43146538280336e-009,-7.32030785817285e-008
8.209028186012,0.100000007958004,-7.44759424451194e-009,-7.1672816335568e-008
8.249528186012,0.100000005801018,-8.89172618626866e-009,-7.14607310325392e-008
8.290028186012,0.100000005301926,-1.06905983521067e-008,-7.0569205721715e-008
8.330528186012,0.100000004343397,-1.23218776388306e-008,-7.00204849991411e-008
8.371028186012,0.100000003470743,-1.37969239351193e-008,-6.96845674133327e-008
8.411528186012,0.100000002712898,-1.45867244791391e-008,-6.94212705858618e-008
8.452028186012,0.100000002483809,-1.55070022356695e-008,-6.92883082942897e-008
8.492528186012,0.100000002245052,-1.61319359484982e-008,-6.91109984302135e-008
8.533028186012,0.100000002007044,-1.7214968708502e-008,-6.92629121136608e-008
8.573528186012,0.100000001758933,-1.82147950706449e-008,-6.93914583916137e-008
8.614028186012,0.100000001690172,-1.86546430144333e-008,-6.91428526785055e-008
8.654528186012,0.100000000944924,-1.95052204608267e-008,-6.95192790935815e-008
8.695028186012,0.100000000775381,-2.06131148735384e-008,-6.99344504256651e-008
8.735528186012,0.100000001097377,-2.06421396293872e-008,-6.98818657217908e-008
8.776028186012,0.10000000084921,-2.10419922897704e-008,-6.97981636245049e-008
8.816528186012,0.100000000729452,-2.13229212168607e-008,-6.98269403080721e-008
8.857028186012,0.100000000905661,-2.15544038923165e-008,-7.03283665338042e-008
8.897528186012,0.100000001500053,-2.09220670883133e-008,-7.0880103186437e-008
